chamber,record ID,datetime,temperature setpoint,temperature actual,rh setpoint,rh actual,watering setpoint,watering actual
Chamber 7 (0003AA0095F6),604a9cfe607fcc4f88cbc3d3,2019-01-01 00:30,30.0,30.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),604a9cfe607fcc4f88cbc3d3,2019-01-01 01:00,29.0,29.0,60.0,59.0,50.0,57.0
Chamber 7 (0003AA0095F6),3ef315d52f151849ad852842,2019-01-01 01:30,28.0,28.299,60.0,61.0,50.0,57.0
Chamber 7 (0003AA0095F6),3ef315d52f151849ad852842,2019-01-01 02:00,28.0,28.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),e6eda0802c2b604d926966e3,2019-01-01 02:30,27.0,26.799,60.0,61.0,50.0,57.0
Chamber 7 (0003AA0095F6),e6eda0802c2b604d926966e3,2019-01-01 03:00,27.0,27.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),c8b13665fa4aed48b47d88de,2019-01-01 03:30,27.0,27.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),c8b13665fa4aed48b47d88de,2019-01-01 04:00,27.0,27.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),ffeed3bca12fad45ac93dedf,2019-01-01 04:30,27.0,27.1,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),ffeed3bca12fad45ac93dedf,2019-01-01 05:00,27.0,26.899,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),2d8da73c484bf24b9ba1c062,2019-01-01 05:30,27.0,27.1,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),2d8da73c484bf24b9ba1c062,2019-01-01 06:00,28.0,27.6,60.0,59.0,50.0,56.0
Chamber 7 (0003AA0095F6),badc56debbc5c94ab5d0e4f7,2019-01-01 06:30,28.0,28.1,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),badc56debbc5c94ab5d0e4f7,2019-01-01 07:00,29.0,29.0,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),228ed09e73b8f8429ae7ba5b,2019-01-01 07:30,30.0,30.1,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),228ed09e73b8f8429ae7ba5b,2019-01-01 08:00,31.0,31.0,60.0,59.0,50.0,56.0
Chamber 7 (0003AA0095F6),8864f17e72006c4592bdb391,2019-01-01 08:30,32.0,32.2,60.0,61.0,50.0,56.0
Chamber 7 (0003AA0095F6),8864f17e72006c4592bdb391,2019-01-01 09:00,33.0,32.7,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),bad2e52358bd6d4dbaa5085b,2019-01-01 09:30,33.0,33.0,60.0,59.0,50.0,56.0
Chamber 7 (0003AA0095F6),bad2e52358bd6d4dbaa5085b,2019-01-01 10:00,34.0,34.0,60.0,61.0,50.0,57.0
Chamber 7 (0003AA0095F6),7ebc643da9a6dc4da57ad18b,2019-01-01 10:30,35.0,35.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),7ebc643da9a6dc4da57ad18b,2019-01-01 11:00,36.0,36.099,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),12d999c115e5b642be3da99f,2019-01-01 11:30,37.0,36.9,60.0,61.0,50.0,57.0
Chamber 7 (0003AA0095F6),12d999c115e5b642be3da99f,2019-01-01 12:00,37.0,37.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),40925410765bca4c9bc5dfd4,2019-01-01 12:30,37.0,37.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),40925410765bca4c9bc5dfd4,2019-01-01 13:00,37.0,37.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),f77ca763a0cde94d9488eda6,2019-01-01 13:30,37.0,37.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),f77ca763a0cde94d9488eda6,2019-01-01 14:00,37.0,37.0,60.0,60.0,50.0,57.0
Chamber 7 (0003AA0095F6),901601476122554ba9f0c369,2019-01-01 14:30,37.0,37.0,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),901601476122554ba9f0c369,2019-01-01 15:00,37.0,36.9,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),e06ced151d9de44ca3e05a8b,2019-01-01 15:30,37.0,37.0,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),e06ced151d9de44ca3e05a8b,2019-01-01 16:00,37.0,37.0,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),a62e1a740cbc7743881a5aa3,2019-01-01 16:30,37.0,37.0,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),a62e1a740cbc7743881a5aa3,2019-01-01 17:00,37.0,37.099,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),939de92cc74bd54c93dd2d87,2019-01-01 17:30,37.0,37.0,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),939de92cc74bd54c93dd2d87,2019-01-01 18:00,37.0,36.9,60.0,61.0,50.0,56.0
Chamber 7 (0003AA0095F6),93f398c2ecf6ae41a8bc8d05,2019-01-01 18:30,36.0,35.9,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),93f398c2ecf6ae41a8bc8d05,2019-01-01 19:00,36.0,36.0,60.0,60.0,50.0,56.0
Chamber 7 (0003AA0095F6),6b933225dfdfe04faaac935f,2019-01-01 19:30,35.0,35.099,60.0,60.0,50.0,55.0
Chamber 7 (0003AA0095F6),6b933225dfdfe04faaac935f,2019-01-01 20:00,35.0,35.0,60.0,60.0,50.0,55.0
Chamber 7 (0003AA0095F6),6e8454d2e442c94387e211bb,2019-01-01 20:30,34.0,34.0,60.0,60.0,50.0,55.0
Chamber 7 (0003AA0095F6),6e8454d2e442c94387e211bb,2019-01-01 21:00,33.0,33.2,60.0,61.0,50.0,55.0
Chamber 7 (0003AA0095F6),3e4c3143a17097468fa6ad99,2019-01-01 21:30,33.0,31.299,60.0,60.0,50.0,54.0
Chamber 7 (0003AA0095F6),3e4c3143a17097468fa6ad99,2019-01-01 22:00,32.0,31.799,60.0,60.0,50.0,54.0
Chamber 7 (0003AA0095F6),dbb7c09ce1bf874b804f535d,2019-01-01 22:30,32.0,32.0,60.0,60.0,50.0,54.0
Chamber 7 (0003AA0095F6),dbb7c09ce1bf874b804f535d,2019-01-01 23:00,31.0,30.899,60.0,60.0,50.0,54.0
Chamber 7 (0003AA0095F6),f34b5e96fa35e04e8680fb98,2019-01-01 23:30,31.0,31.0,60.0,60.0,50.0,54.0
